id,name,sex
0,Emma,girl
1,Sophia,girl
2,Olivia,girl
3,Noah,boy
4,Isabella,girl
5,Jacob,boy
6,Mason,boy
7,Liam,boy
8,William,boy
9,Ava,girl
10,Ethan,boy
11,Michael,boy
12,Alexander,boy
13,James,boy
14,Daniel,boy
15,Elijah,boy
16,Aiden,boy
17,Jayden,boy
18,Benjamin,boy
19,Matthew,boy
20,Mia,girl
21,Logan,boy
22,Emily,girl
23,Abigail,girl
24,David,boy
25,Joseph,boy
26,Anthony,boy
27,Jackson,boy
28,Lucas,boy
29,Joshua,boy
30,Andrew,boy
31,Gabriel,boy
32,Samuel,boy
33,Christopher,boy
34,Madison,girl
35,John,boy
36,Dylan,boy
37,Ryan,boy
38,Isaac,boy
39,Elizabeth,girl
40,Carter,boy
41,Charlotte,girl
42,Luke,boy
43,Nathan,boy
44,Caleb,boy
45,Owen,boy
46,Chloe,girl
47,Christian,boy
48,Henry,boy
49,Oliver,boy
50,Wyatt,boy
51,Ella,girl
52,Jonathan,boy
53,Amelia,girl
54,Landon,boy
55,Avery,girl
56,Jack,boy
57,Sofia,girl
58,Sebastian,boy
59,Evelyn,girl
60,Harper,girl
61,Hunter,boy
62,Isaiah,boy
63,Julian,boy
64,Addison,girl
65,Levi,boy
66,Grace,girl
67,Aaron,boy
68,Natalie,girl
69,Eli,boy
70,Brayden,boy
71,Victoria,girl
72,Nicholas,boy
73,Lily,girl
74,Connor,boy
75,Charles,boy
76,Thomas,boy
77,Evan,boy
78,Aubrey,girl
79,Jeremiah,boy
80,Gavin,boy
81,Cameron,boy
82,Jordan,boy
83,Adrian,boy
84,Lillian,girl
85,Jaxon,boy
86,Zoey,girl
87,Hannah,girl
88,Angel,boy
89,Tyler,boy
90,Robert,boy
91,Brooklyn,girl
92,Layla,girl
93,Austin,boy
94,Samantha,girl
95,Grayson,boy
96,Josiah,boy
97,Brandon,boy
98,Zoe,girl
99,Colton,boy
100,Jose,boy
101,Leah,girl
102,Dominic,boy
103,Kevin,boy
104,Zachary,boy
105,Riley,girl
106,Scarlett,girl
107,Chase,boy
108,Ian,boy
109,Anna,girl
110,Jason,boy
111,Savannah,girl
112,Camila,girl
113,Ayden,boy
114,Audrey,girl
115,Allison,girl
116,Adam,boy
117,Parker,boy
118,Gabriella,girl
119,Hailey,girl
120,Cooper,boy
121,Justin,boy
122,Xavier,boy
123,Sarah,girl
124,Claire,girl
